 service_id, service_name, service_category, service_price, service_status
129,Parking,Parking,1000,Available
130,Banquet Hall,Event,500,Available
131,Conference Hall,Business,1000,Available
132,Tour Assistance,Travel,1500,Available
133,Wake-up Call,Guest Service,3500,Available
134,Luggage Assistance,Guest Service,2000,Available
135,Extra Bed,Room,500,Available
136,Room Service,Dining,300,Available
137,Laundry,Housekeeping,1200,Available
138,Restaurant,Dining,1500,Available
139,Breakfast Buffet,Dining,300,Available
140,Spa,Wellness,25000,Available
141,Swimming Pool,Recreation,400,Unavailable
142,Gym,Fitness,15000,Available
143,Wi-Fi,Internet,500,Available
144,Parking,Parking,400,Available
145,Banquet Hall,Event,1200,Available
146,Conference Hall,Business,1500,Available
147,Tour Assistance,Travel,15000,Available
148,Wake-up Call,Guest Service,3500,Available
149,Luggage Assistance,Guest Service,500,Available
150,Extra Bed,Room,400,Available
151,Room Service,Dining,400,Available
152,Laundry,Housekeeping,1000,Available
153,Restaurant,Dining,1200,Available
154,Breakfast Buffet,Dining,3500,Available
155,Spa,Wellness,300,Available
156,Swimming Pool,Recreation,500,Unavailable
157,Gym,Fitness,1000,Unavailable
158,Wi-Fi,Internet,700,Available
159,Parking,Parking,1500,Available
160,Banquet Hall,Event,1200,Available
161,Conference Hall,Business,300,Available
162,Tour Assistance,Travel,300,Available
163,Wake-up Call,Guest Service,1500,Available
164,Luggage Assistance,Guest Service,300,Available
165,Extra Bed,Room,800,Available
166,Room Service,Dining,800,Available
167,Laundry,Housekeeping,1500,Available
168,Restaurant,Dining,500,Available
169,Breakfast Buffet,Dining,500,Available
170,Spa,Wellness,2000,Available
171,Swimming Pool,Recreation,400,Available
172,Gym,Fitness,500,Available
173,Wi-Fi,Internet,300,Unavailable
174,Parking,Parking,500,Available
175,Banquet Hall,Event,300,Available
176,Conference Hall,Business,400,Available
177,Tour Assistance,Travel,500,Available
178,Wake-up Call,Guest Service,2000,Available
179,Luggage Assistance,Guest Service,700,Available
180,Extra Bed,Room,500,Available
181,Room Service,Dining,500,Available
182,Laundry,Housekeeping,25000,Available
183,Restaurant,Dining,500,Available
184,Breakfast Buffet,Dining,400,Available
185,Spa,Wellness,500,Available
186,Swimming Pool,Recreation,1500,Available
187,Gym,Fitness,1500,Available
188,Wi-Fi,Internet,700,Available
189,Parking,Parking,300,Available
190,Banquet Hall,Event,1500,Available
191,Conference Hall,Business,15000,Available
192,Tour Assistance,Travel,1500,Available
193,Wake-up Call,Guest Service,400,Available
194,Luggage Assistance,Guest Service,3500,Available
195,Extra Bed,Room,500,Available
196,Room Service,Dining,500,Available
197,Laundry,Housekeeping,500,Unavailable
198,Restaurant,Dining,800,Available
199,Breakfast Buffet,Dining,400,Available
200,Spa,Wellness,3500,Available
201,Swimming Pool,Recreation,3500,Available
202,Gym,Fitness,1500,Available
203,Wi-Fi,Internet,300,Available
204,Parking,Parking,700,Available
205,Banquet Hall,Event,1000,Available
206,Conference Hall,Business,3500,Available
207,Tour Assistance,Travel,3500,Available
208,Wake-up Call,Guest Service,1200,Available
209,Luggage Assistance,Guest Service,25000,Available
210,Extra Bed,Room,1500,Available
211,Room Service,Dining,300,Available
212,Laundry,Housekeeping,300,Available
213,Restaurant,Dining,25000,Available
214,Breakfast Buffet,Dining,500,Available
215,Spa,Wellness,15000,Available
216,Swimming Pool,Recreation,500,Available
217,Gym,Fitness,800,Available
218,Wi-Fi,Internet,700,Available
219,Parking,Parking,300,Available
220,Banquet Hall,Event,300,Available
221,Conference Hall,Business,300,Available
222,Tour Assistance,Travel,25000,Available
223,Wake-up Call,Guest Service,500,Available
224,Luggage Assistance,Guest Service,500,Available
225,Extra Bed,Room,500,Available
226,Room Service,Dining,2000,Available
227,Laundry,Housekeeping,500,Available
228,Restaurant,Dining,1000,Available
229,Breakfast Buffet,Dining,2000,Available
230,Spa,Wellness,1500,Available
231,Swimming Pool,Recreation,2000,Available
232,Gym,Fitness,1500,Available
233,Wi-Fi,Internet,400,Available
234,Parking,Parking,1200,Available
235,Banquet Hall,Event,300,Available
236,Conference Hall,Business,25000,Available
237,Tour Assistance,Travel,700,Available
238,Wake-up Call,Guest Service,3500,Available
239,Luggage Assistance,Guest Service,15000,Available
240,Extra Bed,Room,300,Available
241,Room Service,Dining,800,Available
242,Laundry,Housekeeping,1500,Available
243,Restaurant,Dining,700,Available
244,Breakfast Buffet,Dining,500,Available
245,Spa,Wellness,500,Available
246,Swimming Pool,Recreation,500,Available
247,Gym,Fitness,2000,Available
248,Wi-Fi,Internet,500,Available
249,Parking,Parking,800,Available
250,Banquet Hall,Event,25000,Available
251,Conference Hall,Business,300,Available
252,Tour Assistance,Travel,1200,Available
253,Wake-up Call,Guest Service,1500,Unavailable
254,Luggage Assistance,Guest Service,300,Available
255,Extra Bed,Room,300,Available
256,Room Service,Dining,300,Available
257,Laundry,Housekeeping,700,Available
258,Restaurant,Dining,300,Available
259,Breakfast Buffet,Dining,2000,Available
260,Spa,Wellness,300,Available
261,Swimming Pool,Recreation,500,Available
262,Gym,Fitness,800,Available
263,Wi-Fi,Internet,400,Available
264,Parking,Parking,25000,Available
265,Banquet Hall,Event,1500,Available
266,Conference Hall,Business,800,Available
267,Tour Assistance,Travel,400,Available
268,Wake-up Call,Guest Service,500,Available
269,Luggage Assistance,Guest Service,700,Available
270,Extra Bed,Room,1200,Available
271,Room Service,Dining,500,Available
272,Laundry,Housekeeping,25000,Available
273,Restaurant,Dining,15000,Available
274,Breakfast Buffet,Dining,1500,Available
275,Spa,Wellness,1500,Available
276,Swimming Pool,Recreation,700,Available
277,Gym,Fitness,300,Available
278,Wi-Fi,Internet,400,Available
279,Parking,Parking,3500,Available
280,Banquet Hall,Event,1500,Available
281,Conference Hall,Business,400,Available
282,Tour Assistance,Travel,300,Available
283,Wake-up Call,Guest Service,300,Available
284,Luggage Assistance,Guest Service,500,Available
285,Extra Bed,Room,1200,Available
286,Room Service,Dining,3500,Available
287,Laundry,Housekeeping,800,Available
288,Restaurant,Dining,800,Available
289,Breakfast Buffet,Dining,3500,Available
290,Spa,Wellness,25000,Available
291,Swimming Pool,Recreation,400,Available
292,Gym,Fitness,25000,Available
293,Wi-Fi,Internet,1500,Available
294,Parking,Parking,2000,Available
295,Banquet Hall,Event,15000,Available
296,Conference Hall,Business,1200,Available
297,Tour Assistance,Travel,300,Available
298,Wake-up Call,Guest Service,300,Available
299,Luggage Assistance,Guest Service,1200,Available
300,Extra Bed,Room,1200,Available
301,Room Service,Dining,1200,Available
302,Laundry,Housekeeping,1200,Unavailable
303,Restaurant,Dining,500,Available
304,Breakfast Buffet,Dining,1000,Available
305,Spa,Wellness,15000,Available
306,Swimming Pool,Recreation,2000,Available
307,Gym,Fitness,1000,Available
308,Wi-Fi,Internet,400,Available
309,Parking,Parking,25000,Available
310,Banquet Hall,Event,1500,Available
311,Conference Hall,Business,15000,Available
312,Tour Assistance,Travel,15000,Available
313,Wake-up Call,Guest Service,300,Available
314,Luggage Assistance,Guest Service,3500,Available
315,Extra Bed,Room,800,Available
316,Room Service,Dining,2000,Available
317,Laundry,Housekeeping,1000,Unavailable
318,Restaurant,Dining,400,Available
319,Breakfast Buffet,Dining,500,Available
320,Spa,Wellness,15000,Available
321,Swimming Pool,Recreation,500,Available
322,Gym,Fitness,700,Available
323,Wi-Fi,Internet,2000,Available
324,Parking,Parking,2000,Available
325,Banquet Hall,Event,2000,Available
326,Conference Hall,Business,800,Available
327,Tour Assistance,Travel,3500,Unavailable
328,Wake-up Call,Guest Service,300,Available
329,Luggage Assistance,Guest Service,300,Available
330,Extra Bed,Room,1500,Available
331,Room Service,Dining,400,Available
332,Laundry,Housekeeping,1500,Available
333,Restaurant,Dining,3500,Available
334,Breakfast Buffet,Dining,400,Available
335,Spa,Wellness,1200,Available
336,Swimming Pool,Recreation,700,Available
337,Gym,Fitness,1200,Available
338,Wi-Fi,Internet,300,Available
339,Parking,Parking,1500,Unavailable
340,Banquet Hall,Event,3500,Available
341,Conference Hall,Business,800,Available
342,Tour Assistance,Travel,500,Available
343,Wake-up Call,Guest Service,1500,Unavailable
344,Luggage Assistance,Guest Service,2000,Available
345,Extra Bed,Room,1000,Available
346,Room Service,Dining,1000,Available
347,Laundry,Housekeeping,500,Available
348,Restaurant,Dining,700,Available
349,Breakfast Buffet,Dining,800,Available
350,Spa,Wellness,2000,Available
351,Swimming Pool,Recreation,800,Available
352,Gym,Fitness,800,Available
353,Wi-Fi,Internet,800,Available
354,Parking,Parking,500,Available
355,Banquet Hall,Event,2000,Available
356,Conference Hall,Business,300,Available
357,Tour Assistance,Travel,300,Unavailable
358,Wake-up Call,Guest Service,1500,Available
359,Luggage Assistance,Guest Service,1500,Available
360,Extra Bed,Room,800,Available
361,Room Service,Dining,2000,Available
362,Laundry,Housekeeping,1500,Available
363,Restaurant,Dining,400,Available
364,Breakfast Buffet,Dining,1000,Available
365,Spa,Wellness,2000,Unavailable
366,Swimming Pool,Recreation,1500,Unavailable
367,Gym,Fitness,15000,Available
368,Wi-Fi,Internet,400,Available
369,Parking,Parking,1000,Available
370,Banquet Hall,Event,300,Available
371,Conference Hall,Business,300,Available
372,Tour Assistance,Travel,700,Available
373,Wake-up Call,Guest Service,25000,Available
374,Luggage Assistance,Guest Service,500,Available
375,Extra Bed,Room,2000,Available
376,Room Service,Dining,1500,Available
377,Laundry,Housekeeping,500,Available
378,Restaurant,Dining,15000,Available
379,Breakfast Buffet,Dining,1500,Available
380,Spa,Wellness,2000,Available
381,Swimming Pool,Recreation,400,Available
382,Gym,Fitness,1200,Available
383,Wi-Fi,Internet,300,Available
384,Parking,Parking,2000,Available
385,Banquet Hall,Event,300,Available
386,Conference Hall,Business,1500,Available
387,Tour Assistance,Travel,2000,Available
388,Wake-up Call,Guest Service,1200,Available
389,Luggage Assistance,Guest Service,300,Available
390,Extra Bed,Room,700,Available
391,Room Service,Dining,400,Available
392,Laundry,Housekeeping,2000,Available
393,Restaurant,Dining,800,Available
394,Breakfast Buffet,Dining,700,Available
395,Spa,Wellness,15000,Available
396,Swimming Pool,Recreation,300,Available
397,Gym,Fitness,800,Available
398,Wi-Fi,Internet,500,Available
399,Parking,Parking,500,Available
400,Banquet Hall,Event,1500,Available
401,Conference Hall,Business,300,Unavailable
402,Tour Assistance,Travel,800,Available
403,Wake-up Call,Guest Service,500,Available
404,Luggage Assistance,Guest Service,25000,Available
405,Extra Bed,Room,1000,Available
406,Room Service,Dining,1500,Available
407,Laundry,Housekeeping,2000,Available
408,Restaurant,Dining,400,Available
409,Breakfast Buffet,Dining,500,Available
410,Spa,Wellness,700,Available
411,Swimming Pool,Recreation,1200,Available
412,Gym,Fitness,1500,Available
413,Wi-Fi,Internet,400,Available
414,Parking,Parking,500,Available
415,Banquet Hall,Event,15000,Available
416,Conference Hall,Business,15000,Available
417,Tour Assistance,Travel,15000,Available
418,Wake-up Call,Guest Service,3500,Unavailable
419,Luggage Assistance,Guest Service,1500,Available
420,Extra Bed,Room,300,Available
421,Room Service,Dining,1500,Available
422,Laundry,Housekeeping,3500,Available
423,Restaurant,Dining,3500,Available
424,Breakfast Buffet,Dining,300,Available
425,Spa,Wellness,25000,Available
426,Swimming Pool,Recreation,1500,Available
427,Gym,Fitness,2000,Available
428,Wi-Fi,Internet,400,Available
429,Parking,Parking,15000,Available
430,Banquet Hall,Event,300,Available
431,Conference Hall,Business,400,Available
432,Tour Assistance,Travel,500,Available
433,Wake-up Call,Guest Service,700,Available
434,Luggage Assistance,Guest Service,1500,Available
435,Extra Bed,Room,700,Unavailable
436,Room Service,Dining,1500,Available
437,Laundry,Housekeeping,300,Available
438,Restaurant,Dining,500,Available
439,Breakfast Buffet,Dining,1500,Unavailable
440,Spa,Wellness,1200,Available
441,Swimming Pool,Recreation,800,Available
442,Gym,Fitness,1500,Available
443,Wi-Fi,Internet,800,Available
444,Parking,Parking,400,Available
445,Banquet Hall,Event,1000,Available
446,Conference Hall,Business,1200,Available
447,Tour Assistance,Travel,3500,Available
448,Wake-up Call,Guest Service,3500,Available
449,Luggage Assistance,Guest Service,2000,Available
450,Extra Bed,Room,15000,Available
451,Room Service,Dining,700,Available
452,Laundry,Housekeeping,1000,Available
453,Restaurant,Dining,300,Available
454,Breakfast Buffet,Dining,300,Available
455,Spa,Wellness,1200,Available
456,Swimming Pool,Recreation,3500,Available
457,Gym,Fitness,1200,Available
458,Wi-Fi,Internet,2000,Available
459,Parking,Parking,700,Available
460,Banquet Hall,Event,300,Available
461,Conference Hall,Business,400,Available
462,Tour Assistance,Travel,1500,Available
463,Wake-up Call,Guest Service,1200,Available
464,Luggage Assistance,Guest Service,800,Unavailable
465,Extra Bed,Room,400,Available
466,Room Service,Dining,500,Available
467,Laundry,Housekeeping,400,Available
468,Restaurant,Dining,1200,Available
469,Breakfast Buffet,Dining,3500,Available
470,Spa,Wellness,1000,Available
471,Swimming Pool,Recreation,1000,Available
472,Gym,Fitness,300,Available
473,Wi-Fi,Internet,300,Available
474,Parking,Parking,1500,Available
475,Banquet Hall,Event,2000,Available
476,Conference Hall,Business,700,Available
477,Tour Assistance,Travel,2000,Available
478,Wake-up Call,Guest Service,300,Available
479,Luggage Assistance,Guest Service,1500,Available
480,Extra Bed,Room,1500,Unavailable
481,Room Service,Dining,1500,Available
482,Laundry,Housekeeping,300,Available
483,Restaurant,Dining,1200,Available
484,Breakfast Buffet,Dining,500,Available
485,Spa,Wellness,1000,Available
486,Swimming Pool,Recreation,25000,Available
487,Gym,Fitness,300,Available
488,Wi-Fi,Internet,1500,Available
489,Parking,Parking,700,Available
490,Banquet Hall,Event,500,Available
491,Conference Hall,Business,400,Available
492,Tour Assistance,Travel,3500,Available
493,Wake-up Call,Guest Service,700,Available
494,Luggage Assistance,Guest Service,300,Available
495,Extra Bed,Room,1200,Available
496,Room Service,Dining,400,Available
497,Laundry,Housekeeping,400,Available
498,Restaurant,Dining,400,Available
499,Breakfast Buffet,Dining,800,Available
500,Spa,Wellness,3500,Available
501,Swimming Pool,Recreation,1000,Available
502,Gym,Fitness,1200,Available
503,Wi-Fi,Internet,1500,Available
504,Parking,Parking,1200,Available
505,Banquet Hall,Event,25000,Available
506,Conference Hall,Business,700,Available
507,Tour Assistance,Travel,1200,Available
508,Wake-up Call,Guest Service,1500,Available
509,Luggage Assistance,Guest Service,25000,Available
510,Extra Bed,Room,300,Available
511,Room Service,Dining,3500,Available
512,Laundry,Housekeeping,400,Available
513,Restaurant,Dining,500,Available
514,Breakfast Buffet,Dining,700,Available
515,Spa,Wellness,1000,Available
516,Swimming Pool,Recreation,500,Available
517,Gym,Fitness,500,Available
518,Wi-Fi,Internet,300,Available
519,Parking,Parking,300,Available
520,Banquet Hall,Event,2000,Available
521,Conference Hall,Business,1200,Available
522,Tour Assistance,Travel,1200,Available
523,Wake-up Call,Guest Service,800,Available
524,Luggage Assistance,Guest Service,500,Available
525,Extra Bed,Room,25000,Available
526,Room Service,Dining,1500,Available
527,Laundry,Housekeeping,15000,Unavailable
528,Restaurant,Dining,1500,Available
529,Breakfast Buffet,Dining,300,Available
530,Spa,Wellness,2000,Available
531,Swimming Pool,Recreation,500,Unavailable
532,Gym,Fitness,400,Available
533,Wi-Fi,Internet,15000,Available
534,Parking,Parking,25000,Available
535,Banquet Hall,Event,1500,Available
536,Conference Hall,Business,300,Available
537,Tour Assistance,Travel,1200,Available
538,Wake-up Call,Guest Service,300,Available
539,Luggage Assistance,Guest Service,1500,Unavailable
540,Extra Bed,Room,25000,Available
541,Room Service,Dining,25000,Available
542,Laundry,Housekeeping,25000,Available
543,Restaurant,Dining,2000,Available
544,Breakfast Buffet,Dining,1500,Available
545,Spa,Wellness,300,Available
546,Swimming Pool,Recreation,700,Available
547,Gym,Fitness,3500,Available
548,Wi-Fi,Internet,500,Available
549,Parking,Parking,2000,Available
550,Banquet Hall,Event,500,Available
551,Conference Hall,Business,300,Available
552,Tour Assistance,Travel,300,Available
553,Wake-up Call,Guest Service,15000,Available
554,Luggage Assistance,Guest Service,500,Unavailable
555,Extra Bed,Room,3500,Available
556,Room Service,Dining,1000,Available
557,Laundry,Housekeeping,3500,Available
558,Restaurant,Dining,1500,Available
559,Breakfast Buffet,Dining,500,Available
560,Spa,Wellness,1500,Available
561,Swimming Pool,Recreation,25000,Available
562,Gym,Fitness,1500,Available
563,Wi-Fi,Internet,300,Available
564,Parking,Parking,1500,Available
565,Banquet Hall,Event,500,Unavailable
566,Conference Hall,Business,25000,Available
567,Tour Assistance,Travel,500,Unavailable
568,Wake-up Call,Guest Service,300,Available
569,Luggage Assistance,Guest Service,300,Available
570,Extra Bed,Room,15000,Available
571,Room Service,Dining,500,Available
572,Laundry,Housekeeping,2000,Unavailable
573,Restaurant,Dining,1500,Unavailable
574,Breakfast Buffet,Dining,800,Unavailable
575,Spa,Wellness,2000,Available
576,Swimming Pool,Recreation,300,Available
577,Gym,Fitness,300,Available
578,Wi-Fi,Internet,15000,Available
579,Parking,Parking,15000,Available
580,Banquet Hall,Event,500,Available
581,Conference Hall,Business,400,Available
582,Tour Assistance,Travel,1500,Available
583,Wake-up Call,Guest Service,2000,Available
584,Luggage Assistance,Guest Service,1500,Available
585,Extra Bed,Room,1000,Available
586,Room Service,Dining,25000,Available
587,Laundry,Housekeeping,700,Available
588,Restaurant,Dining,700,Unavailable
589,Breakfast Buffet,Dining,2000,Available
590,Spa,Wellness,25000,Available
591,Swimming Pool,Recreation,700,Available
592,Gym,Fitness,700,Available
593,Wi-Fi,Internet,3500,Available
594,Parking,Parking,1000,Available
595,Banquet Hall,Event,1200,Available
596,Conference Hall,Business,700,Available
597,Tour Assistance,Travel,2000,Available
598,Wake-up Call,Guest Service,500,Available
599,Luggage Assistance,Guest Service,500,Available
600,Extra Bed,Room,700,Available
601,Room Service,Dining,1500,Available
602,Laundry,Housekeeping,1500,Available
603,Restaurant,Dining,3500,Available
604,Breakfast Buffet,Dining,800,Available
605,Spa,Wellness,15000,Available
606,Swimming Pool,Recreation,1500,Available
607,Gym,Fitness,800,Available
608,Wi-Fi,Internet,1200,Available
609,Parking,Parking,3500,Available
610,Banquet Hall,Event,400,Available
611,Conference Hall,Business,700,Unavailable
612,Tour Assistance,Travel,15000,Available
613,Wake-up Call,Guest Service,1500,Available
614,Luggage Assistance,Guest Service,2000,Available
615,Extra Bed,Room,800,Available
616,Room Service,Dining,3500,Available
617,Laundry,Housekeeping,400,Available
618,Restaurant,Dining,2000,Available
619,Breakfast Buffet,Dining,15000,Available
620,Spa,Wellness,800,Available
621,Swimming Pool,Recreation,300,Unavailable
622,Gym,Fitness,300,Unavailable
623,Wi-Fi,Internet,1500,Available
624,Parking,Parking,3500,Available
625,Banquet Hall,Event,15000,Available
626,Conference Hall,Business,700,Available
627,Tour Assistance,Travel,500,Unavailable
628,Wake-up Call,Guest Service,1200,Available
629,Luggage Assistance,Guest Service,25000,Available
630,Extra Bed,Room,15000,Available
631,Room Service,Dining,1200,Available
632,Laundry,Housekeeping,1500,Available
633,Restaurant,Dining,3500,Available
634,Breakfast Buffet,Dining,700,Available
635,Spa,Wellness,500,Available
636,Swimming Pool,Recreation,1500,Available
637,Gym,Fitness,1500,Available
638,Wi-Fi,Internet,800,Available
639,Parking,Parking,2000,Available
640,Banquet Hall,Event,1500,Available
641,Conference Hall,Business,400,Available
642,Tour Assistance,Travel,1200,Available
643,Wake-up Call,Guest Service,700,Available
644,Luggage Assistance,Guest Service,2000,Available
645,Extra Bed,Room,1500,Available
646,Room Service,Dining,300,Available
647,Laundry,Housekeeping,300,Unavailable
648,Restaurant,Dining,300,Available
649,Breakfast Buffet,Dining,700,Available
650,Spa,Wellness,1500,Available
651,Swimming Pool,Recreation,1000,Available
652,Gym,Fitness,1200,Available
653,Wi-Fi,Internet,700,Available
654,Parking,Parking,300,Available
655,Banquet Hall,Event,3500,Available
656,Conference Hall,Business,3500,Available
657,Tour Assistance,Travel,3500,Available
658,Wake-up Call,Guest Service,3500,Unavailable
659,Luggage Assistance,Guest Service,500,Unavailable
660,Extra Bed,Room,3500,Unavailable
661,Room Service,Dining,2000,Available
662,Laundry,Housekeeping,1000,Available
663,Restaurant,Dining,3500,Available
664,Breakfast Buffet,Dining,1500,Available
665,Spa,Wellness,1500,Available
666,Swimming Pool,Recreation,2000,Available
667,Gym,Fitness,2000,Available
668,Wi-Fi,Internet,1500,Available
669,Parking,Parking,500,Available
670,Banquet Hall,Event,800,Available
671,Conference Hall,Business,2000,Available
672,Tour Assistance,Travel,300,Available
673,Wake-up Call,Guest Service,400,Unavailable
674,Luggage Assistance,Guest Service,1500,Available
675,Extra Bed,Room,1500,Available
676,Room Service,Dining,25000,Available
677,Laundry,Housekeeping,1500,Available
678,Restaurant,Dining,25000,Available
679,Breakfast Buffet,Dining,25000,Available
680,Spa,Wellness,1500,Available
681,Swimming Pool,Recreation,300,Available
682,Gym,Fitness,1000,Available
683,Wi-Fi,Internet,400,Available
684,Parking,Parking,1200,Available
685,Banquet Hall,Event,1000,Available
686,Conference Hall,Business,300,Available
687,Tour Assistance,Travel,1500,Available
688,Wake-up Call,Guest Service,2000,Available
689,Luggage Assistance,Guest Service,1000,Available
690,Extra Bed,Room,1200,Available
691,Room Service,Dining,1500,Available
692,Laundry,Housekeeping,1500,Available
693,Restaurant,Dining,1000,Available
694,Breakfast Buffet,Dining,300,Available
695,Spa,Wellness,500,Available
696,Swimming Pool,Recreation,1500,Available
697,Gym,Fitness,700,Available
698,Wi-Fi,Internet,500,Available
699,Parking,Parking,700,Available
700,Banquet Hall,Event,300,Available
701,Conference Hall,Business,700,Available
702,Tour Assistance,Travel,500,Available
703,Wake-up Call,Guest Service,1200,Available
704,Luggage Assistance,Guest Service,25000,Available
705,Extra Bed,Room,500,Available
706,Room Service,Dining,1500,Available
707,Laundry,Housekeeping,1200,Available
708,Restaurant,Dining,1500,Available
709,Breakfast Buffet,Dining,400,Available
710,Spa,Wellness,1500,Available
711,Swimming Pool,Recreation,300,Available
712,Gym,Fitness,800,Available
713,Wi-Fi,Internet,300,Available
714,Parking,Parking,3500,Available
715,Banquet Hall,Event,500,Available
716,Conference Hall,Business,500,Available
717,Tour Assistance,Travel,25000,Available
718,Wake-up Call,Guest Service,500,Available
719,Luggage Assistance,Guest Service,500,Available
720,Extra Bed,Room,300,Available
721,Room Service,Dining,1200,Available
722,Laundry,Housekeeping,400,Unavailable
723,Restaurant,Dining,700,Available
724,Breakfast Buffet,Dining,2000,Available
725,Spa,Wellness,500,Available
726,Swimming Pool,Recreation,500,Available
727,Gym,Fitness,500,Unavailable
728,Wi-Fi,Internet,300,Available
729,Parking,Parking,1200,Available
730,Banquet Hall,Event,1500,Available
731,Conference Hall,Business,25000,Unavailable
732,Tour Assistance,Travel,300,Available
733,Wake-up Call,Guest Service,1200,Available
734,Luggage Assistance,Guest Service,700,Unavailable
735,Extra Bed,Room,3500,Available
736,Room Service,Dining,3500,Available
